,n,avg_real,avg_cpu,med_cost,matrix,neighborhood_size
0,30,1169500.0,0.0,13.72576430743544,matrices/30_random_adj_mat_2.txt,1
0,30,1114000.0,0.0,13.108142051874694,matrices/30_random_adj_mat_3.txt,1
0,30,1361300.0,0.0,13.672447727172822,matrices/30_random_adj_mat_4.txt,1
0,30,1206900.0,0.0,13.588149211075509,matrices/30_random_adj_mat_5.txt,1
0,30,1350200.0,0.0,13.365700539247918,matrices/30_random_adj_mat_6.txt,1
0,30,1359000.0,15625000.0,11.592386500357573,matrices/30_random_adj_mat_7.txt,1
0,30,1126800.0,0.0,14.575461153859314,matrices/30_random_adj_mat_8.txt,1
0,30,1407400.0,0.0,12.481433111773043,matrices/30_random_adj_mat_9.txt,1
0,30,1290700.0,0.0,12.757395901035439,matrices/30_random_adj_mat_0.txt,1
0,30,1115800.0,0.0,12.389368341009199,matrices/30_random_adj_mat_1.txt,1
0,30,1071500.0,0.0,13.49529478232617,matrices/30_random_adj_mat_2.txt,1
0,30,1145600.0,0.0,13.253593384504512,matrices/30_random_adj_mat_3.txt,1
0,30,1204200.0,0.0,13.09902695981375,matrices/30_random_adj_mat_4.txt,1
0,30,1278500.0,0.0,13.647060885311392,matrices/30_random_adj_mat_5.txt,1
0,30,1265700.0,0.0,12.736643213440082,matrices/30_random_adj_mat_6.txt,1
0,30,1219500.0,0.0,13.695259406836524,matrices/30_random_adj_mat_7.txt,1
0,30,1236900.0,0.0,13.517971014109735,matrices/30_random_adj_mat_8.txt,1
0,30,1335800.0,0.0,12.422795888318847,matrices/30_random_adj_mat_9.txt,1
0,40,1566500.0,0.0,19.845188736902315,matrices/40_random_adj_mat_0.txt,1
0,40,1728200.0,15625000.0,17.475777295381523,matrices/40_random_adj_mat_1.txt,1
0,40,1981700.0,0.0,18.771260758541974,matrices/40_random_adj_mat_2.txt,1
0,40,2121400.0,0.0,18.44213751336278,matrices/40_random_adj_mat_3.txt,1
0,40,1757600.0,0.0,17.880828040168247,matrices/40_random_adj_mat_4.txt,1
0,40,1667500.0,0.0,18.0549595747842,matrices/40_random_adj_mat_5.txt,1
0,40,1636400.0,0.0,15.768848380069013,matrices/40_random_adj_mat_6.txt,1
0,40,1572400.0,0.0,18.397981680133054,matrices/40_random_adj_mat_7.txt,1
0,40,1596000.0,0.0,17.921172168466526,matrices/40_random_adj_mat_8.txt,1
0,40,1706900.0,0.0,20.30638852686119,matrices/40_random_adj_mat_9.txt,1
0,50,2101200.0,0.0,24.38165748553608,matrices/50_random_adj_mat_0.txt,1
0,50,2048300.0,0.0,22.116699994625577,matrices/50_random_adj_mat_1.txt,1
0,50,2102100.0,15625000.0,20.671040226280848,matrices/50_random_adj_mat_2.txt,1
0,50,2143100.0,0.0,22.087220658675424,matrices/50_random_adj_mat_3.txt,1
0,50,1984800.0,0.0,24.35380195023825,matrices/50_random_adj_mat_4.txt,1
0,50,2017700.0,0.0,22.994933612307484,matrices/50_random_adj_mat_5.txt,1
0,50,1898100.0,0.0,22.78823415717729,matrices/50_random_adj_mat_6.txt,1
0,50,2094100.0,15625000.0,24.386443831255956,matrices/50_random_adj_mat_7.txt,1
0,50,2139000.0,0.0,22.81513545977225,matrices/50_random_adj_mat_8.txt,1
0,50,2166400.0,0.0,21.687635311597564,matrices/50_random_adj_mat_9.txt,1
0,5,1462900.0,15625000.0,2.249612736828632,matrices/5_random_adj_mat_0.txt,5
0,5,1085300.0,0.0,2.4324100724478357,matrices/5_random_adj_mat_1.txt,5
0,5,1195000.0,0.0,2.092769076252572,matrices/5_random_adj_mat_2.txt,5
0,5,1154700.0,0.0,1.730408540073093,matrices/5_random_adj_mat_3.txt,5
0,5,1108500.0,0.0,1.8381227481602793,matrices/5_random_adj_mat_4.txt,5
0,5,1165300.0,0.0,2.907493662653474,matrices/5_random_adj_mat_5.txt,5
0,5,1243800.0,15625000.0,2.907678316977325,matrices/5_random_adj_mat_6.txt,5
0,5,1442200.0,0.0,2.72738402847107,matrices/5_random_adj_mat_7.txt,5
0,5,1175000.0,0.0,2.1307530483783985,matrices/5_random_adj_mat_8.txt,5
0,5,1175600.0,0.0,2.616055718212318,matrices/5_random_adj_mat_9.txt,5
0,6,1756200.0,0.0,2.6549481998199593,matrices/6_random_adj_mat_0.txt,5
0,6,1336500.0,0.0,2.3857942300953416,matrices/6_random_adj_mat_1.txt,5
0,6,1525500.0,0.0,2.5826910133607814,matrices/6_random_adj_mat_2.txt,5
0,6,1647500.0,0.0,2.6244799553107248,matrices/6_random_adj_mat_3.txt,5
0,6,1572000.0,0.0,2.204890873346207,matrices/6_random_adj_mat_4.txt,5
0,6,1036600.0,0.0,2.1213700507683013,matrices/6_random_adj_mat_5.txt,5
0,6,1435700.0,0.0,1.7547496920325507,matrices/6_random_adj_mat_6.txt,5
0,6,1212900.0,0.0,1.9668510853745373,matrices/6_random_adj_mat_7.txt,5
0,6,1282800.0,0.0,2.4785680059775683,matrices/6_random_adj_mat_8.txt,5
0,6,1250100.0,15625000.0,2.442624832178839,matrices/6_random_adj_mat_9.txt,5
0,7,1592200.0,0.0,2.5485158336662055,matrices/7_random_adj_mat_0.txt,5
0,7,1679900.0,0.0,2.1138150373113045,matrices/7_random_adj_mat_1.txt,5
0,7,2163500.0,0.0,2.765538655869785,matrices/7_random_adj_mat_2.txt,5
0,7,1654000.0,0.0,3.0033401217902123,matrices/7_random_adj_mat_3.txt,5
0,7,1650700.0,0.0,2.490845941532837,matrices/7_random_adj_mat_4.txt,5
0,7,1451100.0,0.0,2.5723564469140525,matrices/7_random_adj_mat_5.txt,5
0,7,1868900.0,0.0,2.399317511596459,matrices/7_random_adj_mat_6.txt,5
0,7,1550500.0,0.0,2.869162661634958,matrices/7_random_adj_mat_7.txt,5
0,7,1750600.0,0.0,2.3131457844957337,matrices/7_random_adj_mat_8.txt,5
0,7,1761900.0,0.0,1.9213979013365257,matrices/7_random_adj_mat_9.txt,5
0,8,1887500.0,15625000.0,2.290434661140581,matrices/8_random_adj_mat_0.txt,5
0,8,2861300.0,0.0,2.617022360072963,matrices/8_random_adj_mat_1.txt,5
0,8,1947500.0,0.0,3.029477877548587,matrices/8_random_adj_mat_2.txt,5
0,8,2167500.0,0.0,2.555412885542519,matrices/8_random_adj_mat_3.txt,5
0,8,2030500.0,0.0,2.3648721097559076,matrices/8_random_adj_mat_4.txt,5
0,8,1910800.0,0.0,2.5947795613832856,matrices/8_random_adj_mat_5.txt,5
0,8,1920200.0,0.0,2.7264427283512096,matrices/8_random_adj_mat_6.txt,5
0,8,1829300.0,0.0,2.8759225447740446,matrices/8_random_adj_mat_7.txt,5
0,8,1817100.0,0.0,2.9245232677730293,matrices/8_random_adj_mat_8.txt,5
0,8,1723500.0,15625000.0,2.3974053238819217,matrices/8_random_adj_mat_9.txt,5
0,9,2431800.0,0.0,2.8030371210472502,matrices/9_random_adj_mat_0.txt,5
0,9,2148900.0,0.0,3.425061693053154,matrices/9_random_adj_mat_1.txt,5
0,9,1945800.0,0.0,3.3374177066943247,matrices/9_random_adj_mat_2.txt,5
0,9,1925600.0,0.0,2.4796224566556866,matrices/9_random_adj_mat_3.txt,5
0,9,2047400.0,0.0,2.8388948753827026,matrices/9_random_adj_mat_4.txt,5
0,9,1974500.0,0.0,2.7701374861191868,matrices/9_random_adj_mat_5.txt,5
0,9,2259700.0,0.0,2.982113850340423,matrices/9_random_adj_mat_6.txt,5
0,9,2276300.0,0.0,3.430925771103049,matrices/9_random_adj_mat_7.txt,5
0,9,2276300.0,0.0,2.9485998664242383,matrices/9_random_adj_mat_8.txt,5
0,9,2229900.0,0.0,2.2771753644261548,matrices/9_random_adj_mat_9.txt,5
0,10,2339900.0,0.0,2.662516265023181,matrices/10_random_adj_mat_0.txt,5
0,10,3096100.0,0.0,3.0353818349113464,matrices/10_random_adj_mat_1.txt,5
0,10,2680200.0,0.0,3.5260871575079435,matrices/10_random_adj_mat_2.txt,5
0,10,3473700.0,15625000.0,3.421195560557819,matrices/10_random_adj_mat_3.txt,5
0,10,2428000.0,0.0,3.798868542726552,matrices/10_random_adj_mat_4.txt,5
0,10,2503900.0,0.0,2.845254674392687,matrices/10_random_adj_mat_5.txt,5
0,10,3277300.0,0.0,3.4672760130201716,matrices/10_random_adj_mat_6.txt,5
0,10,2111700.0,15625000.0,3.366281988171553,matrices/10_random_adj_mat_7.txt,5
0,10,2543500.0,0.0,3.2981434034744623,matrices/10_random_adj_mat_8.txt,5
