,n,avg_real,avg_cpu,med_cost,matrix,alpha
0,15,5210296.0,5000000.0,3.31637882865226,matrices/15_random_adj_mat_7.txt,0.97
0,15,5056164.0,5000000.0,3.219388908644788,matrices/15_random_adj_mat_8.txt,0.97
0,15,5133980.0,5625000.0,3.5031147597005545,matrices/15_random_adj_mat_9.txt,0.97
0,20,7968460.0,8125000.0,4.255253549580716,matrices/20_random_adj_mat_0.txt,0.97
0,20,6043944.0,5625000.0,5.221611110687502,matrices/20_random_adj_mat_1.txt,0.97
0,20,6056696.0,6250000.0,5.210915852537762,matrices/20_random_adj_mat_2.txt,0.97
0,20,6020152.0,6250000.0,4.89648195416927,matrices/20_random_adj_mat_3.txt,0.97
0,20,6063360.0,6250000.0,4.350376429591647,matrices/20_random_adj_mat_4.txt,0.97
0,20,6119972.0,6250000.0,4.37984721965156,matrices/20_random_adj_mat_5.txt,0.97
0,20,6095000.0,5625000.0,4.642912393682981,matrices/20_random_adj_mat_6.txt,0.97
0,20,6147692.0,6250000.0,4.195080591188878,matrices/20_random_adj_mat_7.txt,0.97
0,20,6412928.0,6875000.0,5.341045750983904,matrices/20_random_adj_mat_8.txt,0.97
0,20,6257296.0,6250000.0,4.33378129006284,matrices/20_random_adj_mat_9.txt,0.97
0,25,7726312.0,7500000.0,5.138383298498035,matrices/25_random_adj_mat_0.txt,0.97
0,25,7021584.0,7500000.0,5.527615294575649,matrices/25_random_adj_mat_1.txt,0.97
0,25,7166416.0,6875000.0,5.212081931957958,matrices/25_random_adj_mat_2.txt,0.97
0,25,7087032.0,7500000.0,5.3901937609392085,matrices/25_random_adj_mat_3.txt,0.97
0,25,8333656.0,8125000.0,5.925904656890375,matrices/25_random_adj_mat_4.txt,0.97
0,25,7220748.0,7500000.0,6.088278094427802,matrices/25_random_adj_mat_5.txt,0.97
0,25,7052292.0,6875000.0,5.2334662734970445,matrices/25_random_adj_mat_6.txt,0.97
0,25,7758856.0,8125000.0,6.023036038312021,matrices/25_random_adj_mat_7.txt,0.97
0,25,7146616.0,6875000.0,5.6952937566432436,matrices/25_random_adj_mat_8.txt,0.97
0,25,7069032.0,7500000.0,5.287242548331271,matrices/25_random_adj_mat_9.txt,0.97
0,30,8051528.0,8125000.0,6.543827291864311,matrices/30_random_adj_mat_0.txt,0.97
0,30,8023868.0,8125000.0,6.396259083790285,matrices/30_random_adj_mat_1.txt,0.97
0,30,8046628.0,8125000.0,6.845491219045158,matrices/30_random_adj_mat_2.txt,0.97
0,30,8079836.0,8125000.0,7.161203860745209,matrices/30_random_adj_mat_3.txt,0.97
0,30,8079508.0,8125000.0,6.446082065432219,matrices/30_random_adj_mat_4.txt,0.97
0,30,7968016.0,7500000.0,6.998988045024504,matrices/30_random_adj_mat_5.txt,0.97
0,30,8021052.0,7500000.0,6.055616298593095,matrices/30_random_adj_mat_6.txt,0.97
0,30,8567112.0,8125000.0,6.658963123486324,matrices/30_random_adj_mat_7.txt,0.97
