,n,avg_real,avg_cpu,med_cost,matrix,initialTemperature
0,50,11961620.0,12500000.0,10.72168301809205,matrices/50_random_adj_mat_8.txt,1
0,50,12260308.0,11875000.0,10.106587802104965,matrices/50_random_adj_mat_9.txt,1
0,5,3157976.0,3125000.0,2.2496127368286323,matrices/5_random_adj_mat_0.txt,5
0,5,3188632.0,3125000.0,2.4324100724478357,matrices/5_random_adj_mat_1.txt,5
0,5,3298004.0,3125000.0,2.092769076252572,matrices/5_random_adj_mat_2.txt,5
0,5,3192316.0,3125000.0,1.730408540073093,matrices/5_random_adj_mat_3.txt,5
0,5,3171520.0,3125000.0,1.8381227481602795,matrices/5_random_adj_mat_4.txt,5
0,5,3135700.0,3125000.0,2.907493662653474,matrices/5_random_adj_mat_5.txt,5
0,5,3165684.0,3125000.0,2.9076783169773255,matrices/5_random_adj_mat_6.txt,5
0,5,3396156.0,3750000.0,2.7273840284710706,matrices/5_random_adj_mat_7.txt,5
0,5,3189564.0,3125000.0,2.1307530483783985,matrices/5_random_adj_mat_8.txt,5
0,5,3272140.0,3125000.0,2.616055718212318,matrices/5_random_adj_mat_9.txt,5
0,6,3685632.0,3750000.0,2.6603705791553893,matrices/6_random_adj_mat_0.txt,5
0,6,3430696.0,3750000.0,2.385794230095342,matrices/6_random_adj_mat_1.txt,5
0,6,3371236.0,3125000.0,2.582691013360782,matrices/6_random_adj_mat_2.txt,5
0,6,3398532.0,3750000.0,2.624479955310725,matrices/6_random_adj_mat_3.txt,5
0,6,3389312.0,3125000.0,2.204890873346207,matrices/6_random_adj_mat_4.txt,5
0,6,3641216.0,3750000.0,2.1213700507683013,matrices/6_random_adj_mat_5.txt,5
0,6,3395020.0,3750000.0,1.754749692032551,matrices/6_random_adj_mat_6.txt,5
0,6,3418428.0,3125000.0,1.9668510853745373,matrices/6_random_adj_mat_7.txt,5
0,6,3373128.0,3750000.0,2.4785680059775688,matrices/6_random_adj_mat_8.txt,5
0,6,3343100.0,3125000.0,2.4426248321788395,matrices/6_random_adj_mat_9.txt,5
0,7,3485820.0,3750000.0,2.548515833666206,matrices/7_random_adj_mat_0.txt,5
0,7,3537188.0,3750000.0,2.1138150373113045,matrices/7_random_adj_mat_1.txt,5
0,7,3524500.0,3750000.0,2.7655386558697854,matrices/7_random_adj_mat_2.txt,5
0,7,3500940.0,3125000.0,2.846818037575111,matrices/7_random_adj_mat_3.txt,5
0,7,3545128.0,3750000.0,2.490845941532837,matrices/7_random_adj_mat_4.txt,5
0,7,3761184.0,3750000.0,2.572356446914053,matrices/7_random_adj_mat_5.txt,5
0,7,3579284.0,3750000.0,2.3993175115964593,matrices/7_random_adj_mat_6.txt,5
0,7,3508004.0,3750000.0,2.8691626616349586,matrices/7_random_adj_mat_7.txt,5
0,7,3535252.0,3125000.0,2.313145784495734,matrices/7_random_adj_mat_8.txt,5
0,7,3639048.0,3125000.0,1.9213979013365259,matrices/7_random_adj_mat_9.txt,5
0,8,3812788.0,4375000.0,2.180259654423906,matrices/8_random_adj_mat_0.txt,5
0,8,3774404.0,3750000.0,2.648050301666325,matrices/8_random_adj_mat_1.txt,5
0,8,3800184.0,3750000.0,2.9221010888537022,matrices/8_random_adj_mat_2.txt,5
0,8,3677888.0,3750000.0,2.555412885542519,matrices/8_random_adj_mat_3.txt,5
0,8,3673040.0,3750000.0,2.274150021034312,matrices/8_random_adj_mat_4.txt,5
0,8,3690316.0,3750000.0,2.6414412178753333,matrices/8_random_adj_mat_5.txt,5
0,8,3780776.0,3750000.0,2.716863450244099,matrices/8_random_adj_mat_6.txt,5
0,8,3762632.0,3750000.0,2.6530531857668955,matrices/8_random_adj_mat_7.txt,5
0,8,3704672.0,3750000.0,2.949595825314527,matrices/8_random_adj_mat_8.txt,5
0,8,3688176.0,3750000.0,2.3974053238819217,matrices/8_random_adj_mat_9.txt,5
0,9,3942268.0,4375000.0,2.7960053926201898,matrices/9_random_adj_mat_0.txt,5
0,9,3980568.0,3750000.0,3.425061693053154,matrices/9_random_adj_mat_1.txt,5
0,9,3976492.0,3750000.0,3.055396357788015,matrices/9_random_adj_mat_2.txt,5
0,9,3900512.0,3750000.0,2.5079300159901856,matrices/9_random_adj_mat_3.txt,5
0,9,3902668.0,3750000.0,2.7871334609187755,matrices/9_random_adj_mat_4.txt,5
0,9,3886912.0,3750000.0,2.735829266110626,matrices/9_random_adj_mat_5.txt,5
0,9,3948228.0,3750000.0,2.971889592311323,matrices/9_random_adj_mat_6.txt,5
0,9,3865692.0,3750000.0,3.552898229150858,matrices/9_random_adj_mat_7.txt,5
0,9,3965712.0,4375000.0,2.955048742678437,matrices/9_random_adj_mat_8.txt,5
0,9,3942564.0,3750000.0,2.2771753644261548,matrices/9_random_adj_mat_9.txt,5
0,10,4200148.0,4375000.0,2.560696822479461,matrices/10_random_adj_mat_0.txt,5
0,10,4207308.0,4375000.0,3.0344197974476312,matrices/10_random_adj_mat_1.txt,5
0,10,4152616.0,3750000.0,3.359837310139135,matrices/10_random_adj_mat_2.txt,5
0,10,4110656.0,4375000.0,3.370484983121795,matrices/10_random_adj_mat_3.txt,5
0,10,4137832.0,4375000.0,3.3181932222255988,matrices/10_random_adj_mat_4.txt,5
0,10,4750496.0,4375000.0,2.334051028911734,matrices/10_random_adj_mat_5.txt,5
0,10,4366012.0,4375000.0,2.95124372972693,matrices/10_random_adj_mat_6.txt,5
0,10,4564568.0,4375000.0,2.946644339019692,matrices/10_random_adj_mat_7.txt,5
0,10,4662784.0,5000000.0,3.1591041914712177,matrices/10_random_adj_mat_8.txt,5
0,10,4211980.0,3750000.0,2.8951693686036797,matrices/10_random_adj_mat_9.txt,5
0,15,5071780.0,5625000.0,3.96159755828774,matrices/15_random_adj_mat_0.txt,5
0,15,5040184.0,5000000.0,3.6851619762355896,matrices/15_random_adj_mat_1.txt,5
0,15,5061308.0,5000000.0,3.72966768336398,matrices/15_random_adj_mat_2.txt,5
0,15,5082516.0,5000000.0,3.5136364596047676,matrices/15_random_adj_mat_3.txt,5
0,15,5071080.0,5000000.0,3.3180680295147456,matrices/15_random_adj_mat_4.txt,5
0,15,5004396.0,5000000.0,3.297901908722774,matrices/15_random_adj_mat_5.txt,5
0,15,5089732.0,5000000.0,3.1527264324955486,matrices/15_random_adj_mat_6.txt,5
0,15,5105076.0,5000000.0,3.319402941009072,matrices/15_random_adj_mat_7.txt,5
0,15,5027264.0,5000000.0,3.2774851610614686,matrices/15_random_adj_mat_8.txt,5
0,15,5071280.0,5000000.0,3.496504802484496,matrices/15_random_adj_mat_9.txt,5
0,20,6092512.0,6250000.0,4.351495732851423,matrices/20_random_adj_mat_0.txt,5
0,20,6059884.0,6250000.0,5.2667798028733355,matrices/20_random_adj_mat_1.txt,5
0,20,6046236.0,6250000.0,5.197432072257226,matrices/20_random_adj_mat_2.txt,5
0,20,6165592.0,6250000.0,4.871117721686458,matrices/20_random_adj_mat_3.txt,5
0,20,6116756.0,6250000.0,4.6111846555151255,matrices/20_random_adj_mat_4.txt,5
0,20,6107332.0,6250000.0,4.394970929470935,matrices/20_random_adj_mat_5.txt,5
0,20,6027448.0,5625000.0,4.787510693096693,matrices/20_random_adj_mat_6.txt,5
0,20,6097600.0,6250000.0,4.173941399489115,matrices/20_random_adj_mat_7.txt,5
0,20,6054172.0,6250000.0,5.369744988272416,matrices/20_random_adj_mat_8.txt,5
0,20,6068480.0,6250000.0,4.363638463299207,matrices/20_random_adj_mat_9.txt,5
0,25,6937272.0,6875000.0,5.379410313943105,matrices/25_random_adj_mat_0.txt,5
0,25,6957528.0,6875000.0,5.722495914902854,matrices/25_random_adj_mat_1.txt,5
0,25,6953296.0,6875000.0,5.108381074213788,matrices/25_random_adj_mat_2.txt,5
0,25,7414136.0,6875000.0,5.557376832072721,matrices/25_random_adj_mat_3.txt,5
0,25,6973132.0,7500000.0,5.967461113703171,matrices/25_random_adj_mat_4.txt,5
0,25,6929324.0,6875000.0,5.916092404390314,matrices/25_random_adj_mat_5.txt,5
0,25,6959088.0,6875000.0,5.026575040543676,matrices/25_random_adj_mat_6.txt,5
0,25,6904356.0,6875000.0,5.975150576424055,matrices/25_random_adj_mat_7.txt,5
0,25,6917144.0,6875000.0,5.517628815974651,matrices/25_random_adj_mat_8.txt,5
0,25,7895692.0,8125000.0,5.130031800599258,matrices/25_random_adj_mat_9.txt,5
0,30,8483756.0,8750000.0,6.5601976634403645,matrices/30_random_adj_mat_0.txt,5
0,30,7981596.0,8125000.0,6.548883248559451,matrices/30_random_adj_mat_1.txt,5
0,30,8036352.0,8125000.0,6.816634379282305,matrices/30_random_adj_mat_2.txt,5
0,30,8019576.0,8125000.0,6.788769323187282,matrices/30_random_adj_mat_3.txt,5
0,30,7993660.0,7500000.0,6.7641992233163055,matrices/30_random_adj_mat_4.txt,5
0,30,8014216.0,7500000.0,7.23926558390036,matrices/30_random_adj_mat_5.txt,5
0,30,7973804.0,8125000.0,6.4922258266345345,matrices/30_random_adj_mat_6.txt,5
0,30,7998488.0,8125000.0,6.894785405380203,matrices/30_random_adj_mat_7.txt,5
0,30,7978092.0,8125000.0,7.0343881427074475,matrices/30_random_adj_mat_8.txt,5
0,30,8087864.0,8125000.0,5.982929239057765,matrices/30_random_adj_mat_9.txt,5
0,30,8899504.0,8750000.0,6.606706380749334,matrices/30_random_adj_mat_0.txt,5
0,30,8503704.0,8750000.0,6.255897158150329,matrices/30_random_adj_mat_1.txt,5
0,30,7969380.0,8125000.0,7.06890184435192,matrices/30_random_adj_mat_2.txt,5
0,30,8041144.0,8125000.0,7.035705904421033,matrices/30_random_adj_mat_3.txt,5
0,30,7977216.0,8125000.0,6.7981824678605,matrices/30_random_adj_mat_4.txt,5
0,30,8021532.0,8125000.0,7.078714205874974,matrices/30_random_adj_mat_5.txt,5
0,30,7978188.0,8125000.0,6.302079431243949,matrices/30_random_adj_mat_6.txt,5
0,30,8036040.0,8125000.0,6.699078851625697,matrices/30_random_adj_mat_7.txt,5
0,30,7979132.0,7500000.0,6.441593636896294,matrices/30_random_adj_mat_8.txt,5
0,30,8008200.0,7500000.0,6.436042826227869,matrices/30_random_adj_mat_9.txt,5
0,40,10084764.0,10625000.0,9.129991351708192,matrices/40_random_adj_mat_0.txt,5
0,40,11773896.0,10625000.0,8.765027029940757,matrices/40_random_adj_mat_1.txt,5
0,40,10177992.0,10000000.0,8.712430191719942,matrices/40_random_adj_mat_2.txt,5
0,40,9991496.0,10000000.0,8.834690376457308,matrices/40_random_adj_mat_3.txt,5
0,40,9996672.0,10000000.0,8.325314081524967,matrices/40_random_adj_mat_4.txt,5
0,40,9989228.0,10000000.0,9.096722722735619,matrices/40_random_adj_mat_5.txt,5
0,40,10002336.0,10000000.0,8.104826771866085,matrices/40_random_adj_mat_6.txt,5
0,40,9951552.0,10000000.0,8.640686334992703,matrices/40_random_adj_mat_7.txt,5
0,40,9977972.0,10000000.0,8.77945286560205,matrices/40_random_adj_mat_8.txt,5
0,40,9933704.0,10000000.0,9.433472354551474,matrices/40_random_adj_mat_9.txt,5
0,50,12155596.0,12500000.0,11.238176543830514,matrices/50_random_adj_mat_0.txt,5
0,50,11954188.0,11875000.0,10.789346561826015,matrices/50_random_adj_mat_1.txt,5
0,50,11915388.0,11875000.0,10.544768922440214,matrices/50_random_adj_mat_2.txt,5
0,50,12406100.0,11875000.0,10.45984228566505,matrices/50_random_adj_mat_3.txt,5
0,50,11923496.0,12500000.0,10.83358648805639,matrices/50_random_adj_mat_4.txt,5
0,50,11965804.0,11875000.0,10.969925719868773,matrices/50_random_adj_mat_5.txt,5
0,50,11972456.0,11875000.0,11.130432783014886,matrices/50_random_adj_mat_6.txt,5
0,50,11924968.0,11875000.0,11.463101293460747,matrices/50_random_adj_mat_7.txt,5
0,50,11983208.0,11875000.0,10.430709095728925,matrices/50_random_adj_mat_8.txt,5
0,50,11965188.0,11875000.0,10.326892242201561,matrices/50_random_adj_mat_9.txt,5
0,5,4076264.0,3750000.0,2.2496127368286323,matrices/5_random_adj_mat_0.txt,10
0,5,3333288.0,3125000.0,2.4324100724478357,matrices/5_random_adj_mat_1.txt,10
0,5,3121472.0,3125000.0,2.092769076252572,matrices/5_random_adj_mat_2.txt,10
0,5,3134792.0,3125000.0,1.730408540073093,matrices/5_random_adj_mat_3.txt,10
0,5,3103912.0,3125000.0,1.8381227481602795,matrices/5_random_adj_mat_4.txt,10
0,5,3154272.0,3125000.0,2.907493662653474,matrices/5_random_adj_mat_5.txt,10
0,5,3114272.0,3750000.0,2.9076783169773255,matrices/5_random_adj_mat_6.txt,10
0,5,3149048.0,3125000.0,2.7273840284710706,matrices/5_random_adj_mat_7.txt,10
0,5,3192620.0,3125000.0,2.1307530483783985,matrices/5_random_adj_mat_8.txt,10
0,5,3214552.0,3125000.0,2.616055718212318,matrices/5_random_adj_mat_9.txt,10
0,6,3412568.0,3750000.0,2.6549481998199593,matrices/6_random_adj_mat_0.txt,10
0,6,3331912.0,3125000.0,2.3857942300953416,matrices/6_random_adj_mat_1.txt,10
0,6,3336640.0,3750000.0,2.582691013360782,matrices/6_random_adj_mat_2.txt,10
0,6,4475364.0,3750000.0,2.624479955310725,matrices/6_random_adj_mat_3.txt,10
0,6,3556840.0,3750000.0,2.2048908733462076,matrices/6_random_adj_mat_4.txt,10
0,6,3360876.0,3125000.0,2.1213700507683013,matrices/6_random_adj_mat_5.txt,10
0,6,3351784.0,3750000.0,1.754749692032551,matrices/6_random_adj_mat_6.txt,10
0,6,3364920.0,3125000.0,1.9668510853745373,matrices/6_random_adj_mat_7.txt,10
0,6,3353792.0,3125000.0,2.4785680059775688,matrices/6_random_adj_mat_8.txt,10
0,6,3387488.0,3125000.0,2.4426248321788395,matrices/6_random_adj_mat_9.txt,10
0,7,3633856.0,3750000.0,2.548515833666206,matrices/7_random_adj_mat_0.txt,10
0,7,3521112.0,3750000.0,2.116073358798554,matrices/7_random_adj_mat_1.txt,10
0,7,3629472.0,3750000.0,2.777140000591629,matrices/7_random_adj_mat_2.txt,10
0,7,3589404.0,3125000.0,2.846818037575111,matrices/7_random_adj_mat_3.txt,10
0,7,3573652.0,3750000.0,2.490845941532837,matrices/7_random_adj_mat_4.txt,10
0,7,3616496.0,3750000.0,2.572356446914053,matrices/7_random_adj_mat_5.txt,10
0,7,3476932.0,3750000.0,2.416266881171261,matrices/7_random_adj_mat_6.txt,10
0,7,3653420.0,3750000.0,2.8691626616349586,matrices/7_random_adj_mat_7.txt,10
0,7,3542432.0,3750000.0,2.313145784495734,matrices/7_random_adj_mat_8.txt,10
0,7,3508656.0,3125000.0,1.9213979013365259,matrices/7_random_adj_mat_9.txt,10
0,8,3837824.0,3750000.0,2.1802596544239057,matrices/8_random_adj_mat_0.txt,10
0,8,3681204.0,3750000.0,2.648050301666325,matrices/8_random_adj_mat_1.txt,10
0,8,3728992.0,4375000.0,2.9682104454840634,matrices/8_random_adj_mat_2.txt,10
0,8,3710012.0,3750000.0,2.6107324584095855,matrices/8_random_adj_mat_3.txt,10
0,8,3675792.0,3125000.0,2.274150021034312,matrices/8_random_adj_mat_4.txt,10
0,8,3698020.0,3750000.0,2.6379582091479703,matrices/8_random_adj_mat_5.txt,10
0,8,3673996.0,3750000.0,2.7168634502441,matrices/8_random_adj_mat_6.txt,10
0,8,3657880.0,3125000.0,2.6530531857668955,matrices/8_random_adj_mat_7.txt,10
0,8,3784564.0,3750000.0,2.9495958253145265,matrices/8_random_adj_mat_8.txt,10
0,8,3682692.0,3750000.0,2.3974053238819213,matrices/8_random_adj_mat_9.txt,10
0,9,3906728.0,3750000.0,2.7882655656203164,matrices/9_random_adj_mat_0.txt,10
0,9,3905808.0,3750000.0,3.5163276047233554,matrices/9_random_adj_mat_1.txt,10
0,9,3928856.0,4375000.0,3.0553963577880143,matrices/9_random_adj_mat_2.txt,10
0,9,3888592.0,3750000.0,2.50500777916987,matrices/9_random_adj_mat_3.txt,10
0,9,3918580.0,3750000.0,2.7871334609187755,matrices/9_random_adj_mat_4.txt,10
0,9,3993584.0,4375000.0,2.7521731319278957,matrices/9_random_adj_mat_5.txt,10
