,n,avg_real,avg_cpu,med_cost,matrix,mutation_chance
0,5,7397740.0,6875000.0,2.092769076252572,matrices/5_random_adj_mat_2.txt,0.05
0,5,7517960.0,7500000.0,1.730408540073093,matrices/5_random_adj_mat_3.txt,0.05
0,5,7395352.0,7500000.0,1.8381227481602793,matrices/5_random_adj_mat_4.txt,0.05
0,5,7572704.0,7500000.0,2.907493662653474,matrices/5_random_adj_mat_5.txt,0.05
0,5,7474104.0,7500000.0,2.907678316977325,matrices/5_random_adj_mat_6.txt,0.05
0,5,7534548.0,7500000.0,2.72738402847107,matrices/5_random_adj_mat_7.txt,0.05
0,5,7470384.0,7500000.0,2.1307530483783985,matrices/5_random_adj_mat_8.txt,0.05
0,5,7650200.0,7500000.0,2.616055718212318,matrices/5_random_adj_mat_9.txt,0.05
0,6,9657792.0,10000000.0,2.6549481998199593,matrices/6_random_adj_mat_0.txt,0.05
0,6,9435968.0,9375000.0,2.3857942300953416,matrices/6_random_adj_mat_1.txt,0.05
0,6,9684920.0,9375000.0,2.5826910133607814,matrices/6_random_adj_mat_2.txt,0.05
0,6,9604472.0,9375000.0,2.6244799553107248,matrices/6_random_adj_mat_3.txt,0.05
0,6,9626784.0,10000000.0,2.204890873346207,matrices/6_random_adj_mat_4.txt,0.05
0,6,9524104.0,9375000.0,2.1213700507683013,matrices/6_random_adj_mat_5.txt,0.05
0,6,9819128.0,10000000.0,1.7547496920325507,matrices/6_random_adj_mat_6.txt,0.05
0,6,9596772.0,9375000.0,1.9668510853745371,matrices/6_random_adj_mat_7.txt,0.05
0,6,9546464.0,10000000.0,2.4785680059775683,matrices/6_random_adj_mat_8.txt,0.05
0,6,9474272.0,9375000.0,2.442624832178839,matrices/6_random_adj_mat_9.txt,0.05
0,7,11769896.0,11875000.0,2.5485158336662055,matrices/7_random_adj_mat_0.txt,0.05
0,7,11753668.0,11875000.0,2.1133715738835726,matrices/7_random_adj_mat_1.txt,0.05
0,7,11782568.0,11875000.0,2.765538655869785,matrices/7_random_adj_mat_2.txt,0.05
0,7,11699112.0,11875000.0,2.846818037575111,matrices/7_random_adj_mat_3.txt,0.05
0,7,11848844.0,11875000.0,2.490845941532837,matrices/7_random_adj_mat_4.txt,0.05
0,7,11801764.0,11875000.0,2.5723564469140525,matrices/7_random_adj_mat_5.txt,0.05
0,7,11750600.0,11875000.0,2.399317511596459,matrices/7_random_adj_mat_6.txt,0.05
