,n,avg_real,avg_cpu,med_cost,matrix,restarts
0,30,2006800.0,0.0,10.428688293489396,matrices/30_random_adj_mat_3.txt,1
0,30,2732300.0,0.0,10.174017887492818,matrices/30_random_adj_mat_4.txt,1
0,30,3469700.0,0.0,10.122518416665628,matrices/30_random_adj_mat_5.txt,1
0,30,3457400.0,0.0,9.918992657588346,matrices/30_random_adj_mat_6.txt,1
0,30,3771100.0,0.0,10.168967558322365,matrices/30_random_adj_mat_7.txt,1
0,30,3219800.0,0.0,11.59712529400323,matrices/30_random_adj_mat_8.txt,1
0,30,3567900.0,0.0,9.116467936577767,matrices/30_random_adj_mat_9.txt,1
0,40,4285500.0,0.0,14.28500592012801,matrices/40_random_adj_mat_0.txt,1
0,40,3790800.0,15625000.0,16.330903759219968,matrices/40_random_adj_mat_1.txt,1
0,40,6779600.0,0.0,11.663640113496085,matrices/40_random_adj_mat_2.txt,1
0,40,4737900.0,15625000.0,11.86692069003511,matrices/40_random_adj_mat_3.txt,1
0,40,5926800.0,0.0,11.22576655045556,matrices/40_random_adj_mat_4.txt,1
0,40,5075400.0,15625000.0,14.880880634671772,matrices/40_random_adj_mat_5.txt,1
0,40,5260200.0,0.0,10.795986579519404,matrices/40_random_adj_mat_6.txt,1
0,40,5552400.0,0.0,13.363035343547468,matrices/40_random_adj_mat_7.txt,1
0,40,5387800.0,15625000.0,12.933074027285114,matrices/40_random_adj_mat_8.txt,1
0,40,3798100.0,0.0,16.03815742489247,matrices/40_random_adj_mat_9.txt,1
0,50,5717000.0,15625000.0,18.92732332356487,matrices/50_random_adj_mat_0.txt,1
0,50,8709300.0,0.0,14.267377135927088,matrices/50_random_adj_mat_1.txt,1
0,50,7198100.0,15625000.0,15.580758551288282,matrices/50_random_adj_mat_2.txt,1
0,50,6463700.0,0.0,15.203070341094632,matrices/50_random_adj_mat_3.txt,1
0,50,9062300.0,15625000.0,15.71343622409518,matrices/50_random_adj_mat_4.txt,1
0,50,7291700.0,15625000.0,15.282674651073766,matrices/50_random_adj_mat_5.txt,1
0,50,6033300.0,0.0,18.54074454921089,matrices/50_random_adj_mat_6.txt,1
0,50,7468800.0,15625000.0,14.846930012648988,matrices/50_random_adj_mat_7.txt,1
0,50,5149900.0,0.0,16.32067683054683,matrices/50_random_adj_mat_8.txt,1
0,50,7771300.0,15625000.0,14.036824651625713,matrices/50_random_adj_mat_9.txt,1
0,5,1038800.0,0.0,2.249612736828632,matrices/5_random_adj_mat_0.txt,5
0,5,974200.0,0.0,2.4324100724478357,matrices/5_random_adj_mat_1.txt,5
0,5,929600.0,15625000.0,2.092769076252572,matrices/5_random_adj_mat_2.txt,5
0,5,1291800.0,0.0,1.730408540073093,matrices/5_random_adj_mat_3.txt,5
0,5,1291900.0,0.0,1.8381227481602793,matrices/5_random_adj_mat_4.txt,5
0,5,1306000.0,0.0,2.907493662653474,matrices/5_random_adj_mat_5.txt,5
0,5,808800.0,0.0,2.9076783169773255,matrices/5_random_adj_mat_6.txt,5
0,5,1195800.0,0.0,2.72738402847107,matrices/5_random_adj_mat_7.txt,5
0,5,778900.0,0.0,2.1307530483783985,matrices/5_random_adj_mat_8.txt,5
0,5,829100.0,15625000.0,2.616055718212318,matrices/5_random_adj_mat_9.txt,5
0,6,1099900.0,0.0,2.6549481998199593,matrices/6_random_adj_mat_0.txt,5
0,6,915100.0,0.0,2.3857942300953416,matrices/6_random_adj_mat_1.txt,5
0,6,951200.0,0.0,2.5826910133607814,matrices/6_random_adj_mat_2.txt,5
0,6,1165100.0,0.0,2.624479955310725,matrices/6_random_adj_mat_3.txt,5
0,6,1384900.0,0.0,2.204890873346207,matrices/6_random_adj_mat_4.txt,5
0,6,970500.0,0.0,2.1213700507683013,matrices/6_random_adj_mat_5.txt,5
0,6,964400.0,0.0,1.7547496920325507,matrices/6_random_adj_mat_6.txt,5
0,6,744000.0,0.0,1.9668510853745373,matrices/6_random_adj_mat_7.txt,5
0,6,1091100.0,0.0,2.4785680059775683,matrices/6_random_adj_mat_8.txt,5
0,6,1274700.0,0.0,2.442624832178839,matrices/6_random_adj_mat_9.txt,5
0,7,1845600.0,0.0,2.5485158336662055,matrices/7_random_adj_mat_0.txt,5
0,7,1644100.0,0.0,2.1133715738835726,matrices/7_random_adj_mat_1.txt,5
0,7,1782700.0,0.0,2.765538655869785,matrices/7_random_adj_mat_2.txt,5
0,7,1405100.0,15625000.0,2.846818037575111,matrices/7_random_adj_mat_3.txt,5
0,7,1695200.0,0.0,2.490845941532837,matrices/7_random_adj_mat_4.txt,5
0,7,1656800.0,0.0,2.572356446914053,matrices/7_random_adj_mat_5.txt,5
0,7,1613300.0,0.0,2.416266881171261,matrices/7_random_adj_mat_6.txt,5
0,7,1366600.0,0.0,2.869162661634958,matrices/7_random_adj_mat_7.txt,5
0,7,1197600.0,0.0,2.3131457844957337,matrices/7_random_adj_mat_8.txt,5
0,7,1150300.0,15625000.0,1.9213979013365259,matrices/7_random_adj_mat_9.txt,5
0,8,2089500.0,0.0,2.1994158156662635,matrices/8_random_adj_mat_0.txt,5
0,8,4537100.0,0.0,2.648050301666325,matrices/8_random_adj_mat_1.txt,5
0,8,2180200.0,0.0,3.020431394868102,matrices/8_random_adj_mat_2.txt,5
0,8,4057700.0,0.0,2.5500304966934046,matrices/8_random_adj_mat_3.txt,5
0,8,2419200.0,0.0,2.2595413093005345,matrices/8_random_adj_mat_4.txt,5
0,8,1841500.0,0.0,2.6379582091479707,matrices/8_random_adj_mat_5.txt,5
0,8,4074800.0,15625000.0,2.6801242091455997,matrices/8_random_adj_mat_6.txt,5
0,8,4047800.0,0.0,2.653053185766895,matrices/8_random_adj_mat_7.txt,5
0,8,3025600.0,0.0,2.9245232677730293,matrices/8_random_adj_mat_8.txt,5
0,8,1827500.0,15625000.0,2.3974053238819213,matrices/8_random_adj_mat_9.txt,5
0,9,2551900.0,0.0,2.763380495353963,matrices/9_random_adj_mat_0.txt,5
0,9,2228800.0,0.0,3.4250616930531534,matrices/9_random_adj_mat_1.txt,5
0,9,2326000.0,0.0,3.0553963577880148,matrices/9_random_adj_mat_2.txt,5
0,9,2577900.0,15625000.0,2.4796224566556866,matrices/9_random_adj_mat_3.txt,5
0,9,1918800.0,0.0,2.7523194761305927,matrices/9_random_adj_mat_4.txt,5
0,9,2930200.0,0.0,2.879629065225063,matrices/9_random_adj_mat_5.txt,5
0,9,2550300.0,0.0,2.8945244142259132,matrices/9_random_adj_mat_6.txt,5
0,9,1317200.0,15625000.0,3.634286582469198,matrices/9_random_adj_mat_7.txt,5
0,9,2286200.0,0.0,2.9485998664242383,matrices/9_random_adj_mat_8.txt,5
0,9,2061300.0,0.0,2.4202854534613154,matrices/9_random_adj_mat_9.txt,5
0,10,1987200.0,0.0,2.5714578876648786,matrices/10_random_adj_mat_0.txt,5
0,10,2998600.0,0.0,2.91984797950471,matrices/10_random_adj_mat_1.txt,5
0,10,2612700.0,15625000.0,3.3513203310009425,matrices/10_random_adj_mat_2.txt,5
0,10,3139700.0,0.0,3.3445258389475345,matrices/10_random_adj_mat_3.txt,5
0,10,2847200.0,0.0,3.2268629179918995,matrices/10_random_adj_mat_4.txt,5
0,10,2179900.0,0.0,2.5656865501976323,matrices/10_random_adj_mat_5.txt,5
0,10,3703000.0,15625000.0,2.8914559521633945,matrices/10_random_adj_mat_6.txt,5
0,10,3000100.0,0.0,2.947727009866108,matrices/10_random_adj_mat_7.txt,5
0,10,3483000.0,0.0,3.2471303039647075,matrices/10_random_adj_mat_8.txt,5
0,10,3171000.0,15625000.0,3.1516313312518274,matrices/10_random_adj_mat_9.txt,5
0,15,4176700.0,0.0,4.5487923235872785,matrices/15_random_adj_mat_0.txt,5
0,15,4510700.0,0.0,4.754682164995681,matrices/15_random_adj_mat_1.txt,5
0,15,6158000.0,15625000.0,4.386280628399462,matrices/15_random_adj_mat_2.txt,5
0,15,5040300.0,0.0,4.026987660844738,matrices/15_random_adj_mat_3.txt,5
0,15,5088200.0,15625000.0,3.960472015538363,matrices/15_random_adj_mat_4.txt,5
0,15,4565000.0,0.0,3.751202546312999,matrices/15_random_adj_mat_5.txt,5
0,15,3975500.0,0.0,3.4987660437484256,matrices/15_random_adj_mat_6.txt,5
0,15,4744600.0,15625000.0,3.7217165054139394,matrices/15_random_adj_mat_7.txt,5
0,15,5066100.0,0.0,4.14439446806996,matrices/15_random_adj_mat_8.txt,5
0,15,4035900.0,0.0,4.0398319173808535,matrices/15_random_adj_mat_9.txt,5
0,20,9314000.0,15625000.0,4.796030952878825,matrices/20_random_adj_mat_0.txt,5
