,med_cost,restarts
0,4.921530176205522,"[np.float64(10.057734716216103), np.float64(10.043821823927539), np.float64(9.231344465322987), np.float64(9.208290639262595), np.float64(9.149315132030013), np.float64(8.095227613910463), np.float64(7.976965870272967), np.float64(7.973095357591683), np.float64(7.64022559744498), np.float64(7.623691831651178), np.float64(7.5748948516597805), np.float64(7.246130270594652), np.float64(7.124740867915944), np.float64(7.06524283604885), np.float64(7.029928115025199)]"
0,4.413929060546774,"[np.float64(11.30722228693089), np.float64(9.753967522741238), np.float64(8.881141769592286), np.float64(8.51660338251573), np.float64(8.003108459853305), np.float64(7.859359174986686), np.float64(7.848405447766279), np.float64(7.15809291720359), np.float64(6.798582998708135), np.float64(6.576333712935425), np.float64(6.575290250382478), np.float64(6.342892939997197), np.float64(6.251338496152014), np.float64(6.249283891689962), np.float64(5.99703652466808), np.float64(5.993997610928555), np.float64(5.984816543256462), np.float64(5.981875833524732), np.float64(5.8425338565264795), np.float64(5.830284558694338)]"
0,4.912517816978502,"[np.float64(9.280681122297251), np.float64(9.152457878815557), np.float64(8.959580504262524), np.float64(8.463095552106353), np.float64(8.124326132789587), np.float64(7.67747344687589), np.float64(7.599025527603828), np.float64(7.4956212728392515), np.float64(6.933563508011742), np.float64(6.71726983740035), np.float64(6.68448302118499), np.float64(6.510415778774339), np.float64(6.237829515113699), np.float64(6.226514502933024), np.float64(6.185838992209877), np.float64(6.175006292221905), np.float64(5.868196857925705), np.float64(5.831534278299627), np.float64(5.826896735867823), np.float64(5.76926920632346), np.float64(5.6538726018709875), np.float64(5.588471901006476), np.float64(5.577369606710135)]"
0,4.227443971880049,"[np.float64(12.796426710761825), np.float64(10.536946918503885), np.float64(10.449911582111246), np.float64(9.737454131507416), np.float64(9.50810587435928), np.float64(9.470249122894653), np.float64(9.14245528868855), np.float64(9.09476529545307), np.float64(8.90931835489009), np.float64(8.75924048635646), np.float64(7.817237316375424), np.float64(7.804206994180451), np.float64(7.61762687423114), np.float64(7.1244708902246), np.float64(7.0452235319772045), np.float64(6.8747186296007605), np.float64(6.838478112578044), np.float64(6.71319741555343), np.float64(6.516051878599147), np.float64(5.986195886721035), np.float64(5.90053008342629), np.float64(5.804566445010237), np.float64(5.717294892568028)]"
0,4.172987700343152,"[np.float64(9.536257417460794), np.float64(9.259938815888313), np.float64(9.141105302667675), np.float64(8.813911489176036), np.float64(8.697356946195859), np.float64(8.436348063516006), np.float64(7.69294325857832), np.float64(7.680813908107118), np.float64(7.4648338532789875), np.float64(7.418545344054368), np.float64(7.334875760619981), np.float64(7.123344658102929), np.float64(7.107426690577232), np.float64(7.105616793054006), np.float64(6.9780383490804825), np.float64(6.810685453821858), np.float64(6.733064398220166), np.float64(6.71220602388318), np.float64(6.324154968174426), np.float64(6.317572332413239), np.float64(6.217506467444117), np.float64(6.202157763389181), np.float64(6.191240883100895), np.float64(6.072150370987248), np.float64(5.717822732558367), np.float64(5.130949112699149), np.float64(5.109811671514573), np.float64(5.03089366519979), np.float64(4.9744792751774956), np.float64(4.905587321531924), np.float64(4.801630245983232)]"
0,4.803518411215392,"[np.float64(12.083490584049487), np.float64(11.770370117893512), np.float64(11.343772047646686), np.float64(11.056307888425225), np.float64(10.632350812349008), np.float64(9.549177195801862), np.float64(7.193730198964891), np.float64(7.045414068860417), np.float64(6.981636181134698)]"
0,3.9940928803789015,"[np.float64(10.555010240458945), np.float64(10.400135942189259), np.float64(10.28700471733946), np.float64(9.94743128698353), np.float64(9.80511040921445), np.float64(9.465160853407347), np.float64(9.038759233025043), np.float64(8.699156578617082), np.float64(8.569784802294066), np.float64(8.543912358566947), np.float64(8.280524149890912), np.float64(8.124428149245688), np.float64(7.998741823046195), np.float64(7.903689471855499), np.float64(7.873672950125572), np.float64(7.769733940821298), np.float64(7.609878406430943), np.float64(6.915532998919744), np.float64(6.877472703036485), np.float64(6.850646052057675), np.float64(6.790938603184786), np.float64(6.7393344659815035), np.float64(6.699949007871469), np.float64(6.580610291767147), np.float64(6.081598231106653), np.float64(5.979131852232628), np.float64(5.975082519367596), np.float64(5.827243657522702), np.float64(5.800230204013504), np.float64(5.79443353307392), np.float64(5.291149018847469), np.float64(5.091815432991948), np.float64(4.945264855220274), np.float64(4.670821390574287), np.float64(4.656051141717622), np.float64(4.631748054222184)]"
0,4.9917631045441055,"[np.float64(11.84836077260775), np.float64(11.243399734784811), np.float64(10.37219385361425), np.float64(9.552692763094763), np.float64(9.382193807019492), np.float64(9.355929936267044), np.float64(9.298563632449174), np.float64(8.902385660902455), np.float64(8.89774839567168), np.float64(8.346553848839681), np.float64(8.299929955345698), np.float64(8.238797469504492), np.float64(8.144814770150921), np.float64(8.131147840093792), np.float64(8.103447808991088), np.float64(8.024809250143994), np.float64(7.825452553108118), np.float64(7.452612276749976), np.float64(7.441689212610585), np.float64(7.189941361569121), np.float64(7.1425138644398345), np.float64(7.1000860535362325), np.float64(6.598682452696524), np.float64(6.567597502938375), np.float64(6.279296742009482), np.float64(6.193944667065402), np.float64(6.062245086019809), np.float64(5.9741293286887664)]"
0,4.322648897924487,"[np.float64(9.097270209417156), np.float64(8.29148234011537), np.float64(6.548809688589683), np.float64(6.452261899186474), np.float64(6.444126824661572), np.float64(6.385343116379489), np.float64(6.183709735900902), np.float64(6.1779830871060675)]"
0,4.877394877540709,"[np.float64(12.943901452854647), np.float64(12.720139399056707), np.float64(12.238244537646677), np.float64(12.188782833364446), np.float64(11.743901882771853), np.float64(11.68634714310089), np.float64(11.531196034138276), np.float64(11.453635370664909), np.float64(11.243863254923284), np.float64(10.947464179413922), np.float64(10.236139811540955), np.float64(9.640079730461627), np.float64(9.201355151977587), np.float64(8.984969569653266), np.float64(8.534093923075675), np.float64(8.448158712854125), np.float64(8.422236854002362), np.float64(8.357030625510147), np.float64(8.124116842688569), np.float64(8.035428478941755), np.float64(7.965799140974072), np.float64(7.909035586984246), np.float64(7.488452891510967), np.float64(7.448615914693417), np.float64(7.327868885169919), np.float64(7.029509757582686), np.float64(6.539389114378979), np.float64(5.869323100036282), np.float64(5.815888674432973), np.float64(5.780848936246683), np.float64(5.535150993207553), np.float64(5.483848700888218), np.float64(5.440265006971718)]"
